,pi_key,discipline_classification,discipline.group,Id,Group,Sex,ACTIVITY,unique_activities,unique_activity_grouped,unique_activity_sep_5plus,project_count,project_sep_8plus,activity_per_project,Act_per_proj_quant,Act_per_proj_4grp,activity_grouped
65,nih_1860974,AGRI,AGRI,"Mango, Susan E",study,F,R37,3,3 to 4,3,4,4,0.75,5,4,R
66,nih_1861000,BIOC,BIOC,"Johnson, Keith R",comp,M,P20,6,5+,5+,8,8+,0.75,5,4,P
67,nih_1861157,PHAR,PHAR,"Tukey, Robert H",comp,M,P42,2,1 to 2,2,5,5,0.4,2,1,P
68,nih_1861158,PHAR,PHAR,"Rettie, Allan E",study,M,P01,3,3 to 4,3,6,6,0.5,2,2,P01
69,nih_1861164,MEDI,MEDI,"Elston, Robert C",comp,M,P50,4,3 to 4,4,5,5,0.8,5,4,P
70,nih_1861270,MULT,MULT,"Sauer, Robert T",comp,M,P41,3,3 to 4,3,5,5,0.6,4,3,P41
71,nih_1861603,IMMU,IMMU,"Altman, Amnon",comp,M,R01,2,1 to 2,2,6,6,0.333333333,1,1,R01
72,nih_1861604,IMMU,IMMU,"Hatfull, Graham F",comp,M,R01,3,3 to 4,3,8,8+,0.375,2,1,R01
73,nih_1861611,BIOC,BIOC,"Symington, Lorraine S",study,F,R01,2,1 to 2,2,4,4,0.5,2,2,R01
74,nih_1861844,BIOC,BIOC,"Cooke, Nancy E",comp,F,P30,2,1 to 2,2,6,6,0.333333333,1,1,P
75,nih_1861853,IMMU,IMMU,"Mondragon, Alfonso",study,M,R01,2,1 to 2,2,4,4,0.5,2,2,R01
76,nih_1861866,MULT,MULT,"Manley, James L",study,M,P41,3,3 to 4,3,6,6,0.5,2,2,P41
77,nih_1861974,MULT,MULT,"Cate, Jamie H",study,M,P01,3,3 to 4,3,3,3,1,5,4,P01
78,nih_1862124,MULT,MULT,"Boeke, Jef D",study,M,U54,5,5+,5+,11,8+,0.454545455,2,2,U
79,nih_1862126,AGRI,AGRI,"Haber, James E",study,M,R37,3,3 to 4,3,5,5,0.6,4,3,R
80,nih_1862127,AGRI,AGRI,"Lew, Daniel J",study,M,R01,1,1 to 2,1,4,4,0.25,1,1,R01
81,nih_1862128,MULT,MULT,"Snyder, Michael P",study,M,U54,6,5+,5+,17,8+,0.352941176,1,1,U
82,nih_1862146,PHAR,PHAR,"Corey, David R",study,M,P20,2,1 to 2,2,6,6,0.333333333,1,1,P
83,nih_1862328,MULT,MULT,"Baehrecke, Eric H",study,M,R56,2,1 to 2,2,6,6,0.333333333,1,1,R
84,nih_1862351,AGRI,AGRI,"Wolgemuth, Debra J",comp,F,P01,5,5+,5+,6,6,0.833333333,5,4,P01
85,nih_1862427,PHAR,PHAR,"Cronstein, Bruce N",comp,M,UL1,4,3 to 4,4,11,8+,0.363636364,1,1,UL
86,nih_1862569,NEUR,NEUR,"Maricq, Andres V",comp,M,DP1,2,1 to 2,2,4,4,0.5,2,2,DP
87,nih_1862641,NEUR,NEUR,"Hartenstein, Volker",comp,M,P41,3,3 to 4,3,5,5,0.6,4,3,P41
88,nih_1862714,NEUR,NEUR,"Lester, Henry A",comp,M,P50,6,5+,5+,16,8+,0.375,2,1,P
89,nih_1862825,MEDI,MEDI,"Kruger, Warren D",comp,M,R01,1,1 to 2,1,5,5,0.2,1,1,R01
90,nih_1862828,IMMU,IMMU,"Limper, Andrew H",comp,M,R01,1,1 to 2,1,3,3,0.333333333,1,1,R01
91,nih_1862863,MULT,MULT,"Clapham, David E",comp,M,P01,3,3 to 4,3,5,5,0.6,4,3,P01
92,nih_1862869,CHEM,CHEM,"Sampson, Nicole S",comp,F,R01,2,1 to 2,2,7,7,0.285714286,1,1,R01
93,nih_1862913,PHAR,PHAR,"Neubig, Richard R",study,M,R01,3,3 to 4,3,5,5,0.6,4,3,R01
94,nih_1862941,MEDI,MEDI,"Harrison, David G",comp,M,M01,3,3 to 4,3,11,8+,0.272727273,1,1,M
95,nih_1862946,NEUR,NEUR,"Sieck, Gary C",comp,M,R01,2,1 to 2,2,9,8+,0.222222222,1,1,R01
96,nih_1862965,NEUR,NEUR,"Nerbonne, Jeanne M",comp,F,P41,3,3 to 4,3,9,8+,0.333333333,1,1,P41
97,nih_1863075,AGRI,AGRI,"Loomis, William F",study,M,P41,3,3 to 4,3,5,5,0.6,4,3,P41
98,nih_1863076,NEUR,NEUR,"Capecchi, Mario R",comp,M,P01,3,3 to 4,3,6,6,0.5,2,2,P01
99,nih_1863102,AGRI,AGRI,"Schedl, Tim B",study,M,U41,2,1 to 2,2,4,4,0.5,2,2,U
100,nih_1863113,BIOC,BIOC,"Rapraeger, Alan C",comp,M,R01,1,1 to 2,1,6,6,0.166666667,1,1,R01
101,nih_1863117,NEUR,NEUR,"Wilson, Mark E",comp,M,P51,5,5+,5+,9,8+,0.555555556,3,3,P
102,nih_1863167,PHAR,PHAR,"Giacomini, Kathleen M",study,F,M01,6,5+,5+,9,8+,0.666666667,4,3,M
103,nih_1863176,PHAR,PHAR,"Wipf, Peter",comp,M,P50,6,5+,5+,9,8+,0.666666667,4,3,P
104,nih_1863177,CENG,CENG,"Hartwig, John F",study,M,R37,2,1 to 2,2,4,4,0.5,2,2,R
105,nih_1863178,AGRI,AGRI,"Dohlman, Henrik G",study,M,P41,3,3 to 4,3,8,8+,0.375,2,1,P41
106,nih_1863190,PHAR,PHAR,"Schreiber, Stuart L",study,M,U54,9,5+,5+,10,8+,0.9,5,4,U
107,nih_1863214,CHEM,CHEM,"Leary, Julie A",study,F,P01,2,1 to 2,2,3,3,0.666666667,4,3,P01
108,nih_1863216,CHEM,CHEM,"Nocera, Daniel G",study,M,R01,1,1 to 2,1,1,1,1,5,4,R01
109,nih_1863219,MULT,MULT,"Kadonaga, James T",study,M,R01,1,1 to 2,1,3,3,0.333333333,1,1,R01
110,nih_1863223,AGRI,AGRI,"Sullivan, William T",study,M,R01,1,1 to 2,1,2,2,0.5,2,2,R01
111,nih_1863237,IMMU,IMMU,"Dubnau, David A",study,M,R01,1,1 to 2,1,2,2,0.5,2,2,R01
112,nih_1863242,NEUR,NEUR,"Wittenberg, Curt",study,M,P41,2,1 to 2,2,4,4,0.5,2,2,P41
113,nih_1863260,MULT,MULT,"Ebright, Richard H",study,M,R01,3,3 to 4,3,7,7,0.428571429,2,2,R01
114,nih_1863263,AGRI,AGRI,"Russell, Paul",comp,M,P42,3,3 to 4,3,5,5,0.6,4,3,P
115,nih_1863265,IMMU,IMMU,"Bothwell, Alfred L",comp,M,P01,4,3 to 4,4,10,8+,0.4,2,1,P01
116,nih_1863266,AGRI,AGRI,"Lis, John T",study,M,R01,2,1 to 2,2,8,8+,0.25,1,1,R01
117,nih_1863275,CENG,CENG,"Griffin, Robert G",comp,M,P41,3,3 to 4,3,9,8+,0.333333333,1,1,P41
118,nih_1863280,MULT,MULT,"Montminy, Marc R",comp,M,P01,3,3 to 4,3,9,8+,0.333333333,1,1,P01
119,nih_1863286,IMMU,IMMU,"Fire, Andrew Z",study,M,U54,4,3 to 4,4,4,4,1,5,4,U
120,nih_1863290,MULT,MULT,"Walter, Peter",study,M,P50,3,3 to 4,3,3,3,1,5,4,P
121,nih_1863298,AGRI,AGRI,"Selker, Eric U",study,M,R37,2,1 to 2,2,3,3,0.666666667,4,3,R
122,nih_1863303,IMMU,IMMU,"Egelman, Edward H",study,M,P41,2,1 to 2,2,5,5,0.4,2,1,P41
123,nih_1863307,NEUR,NEUR,"Loew, Leslie M",comp,M,U54,4,3 to 4,4,10,8+,0.4,2,1,U
124,nih_1863308,MULT,MULT,"Fink, Gerald R",study,M,R01,1,1 to 2,1,2,2,0.5,2,2,R01
125,nih_1863309,CENG,CENG,"Buchwald, Stephen L",study,M,R37,2,1 to 2,2,3,3,0.666666667,4,3,R
126,nih_1863312,PHAR,PHAR,"Rock, Charles O",study,M,P30,3,3 to 4,3,4,4,0.75,5,4,P
127,nih_1863319,CENG,CENG,"Sligar, Stephen G",study,M,U54,4,3 to 4,4,7,7,0.571428571,4,3,U
128,nih_1863322,MULT,MULT,"Gall, Joseph G",study,M,R01,1,1 to 2,1,1,1,1,5,4,R01
129,nih_1863323,CHEM,CHEM,"Prestegard, James H",study,M,U54,5,5+,5+,9,8+,0.555555556,3,3,U
130,nih_1863324,MEDI,MEDI,"Esko, Jeffrey D",study,M,P41,6,5+,5+,11,8+,0.545454545,3,3,P41
131,nih_1863325,IMMU,IMMU,"Baker, Timothy S",study,M,P41,5,5+,5+,6,6,0.833333333,5,4,P41
132,nih_1863326,NEUR,NEUR,"Winston, Fred M",study,M,R37,2,1 to 2,2,3,3,0.666666667,4,3,R
133,nih_1863333,CENG,CENG,NA,NA,M,NA,1,1 to 2,1,2,2,0.5,2,2,NA
134,nih_1863346,MULT,MULT,"Honig, Barry H",study,M,U54,4,3 to 4,4,4,4,1,5,4,U
135,nih_1863349,BIOC,BIOC,"Johnson, Gary L",study,M,U01,5,5+,5+,9,8+,0.555555556,3,3,U
136,nih_1863359,AGRI,AGRI,"Gerace, Larry R",study,M,P50,5,5+,5+,8,8+,0.625,4,3,P
137,nih_1863363,CHEM,CHEM,"Dervan, Peter B",study,M,R01,2,1 to 2,2,3,3,0.666666667,4,3,R01
138,nih_1863364,MULT,MULT,"Gierasch, Lila M",study,M,DP1,2,1 to 2,2,5,5,0.4,2,1,DP
139,nih_1863367,IMMU,IMMU,"Roth, John R",study,M,R01,1,1 to 2,1,2,2,0.5,2,2,R01
140,nih_1863368,AGRI,AGRI,"Zakian, Virginia A",study,F,P01,3,3 to 4,3,5,5,0.6,4,3,P01
141,nih_1863369,MULT,MULT,"Kirschner, Marc W",study,M,RC4,3,3 to 4,3,7,7,0.428571429,2,2,RC
142,nih_1863375,MULT,MULT,"Rothman, James E",study,M,U54,3,3 to 4,3,6,6,0.5,2,2,U
143,nih_1863377,NEUR,NEUR,"Meisler, Miriam H",study,F,RC1,2,1 to 2,2,3,3,0.666666667,4,3,RC
144,nih_1863389,PHAR,PHAR,"Dennis, Edward A",study,M,U54,3,3 to 4,3,4,4,0.75,5,4,U
145,nih_1863424,IMMU,IMMU,"Becker, Donald F",study,M,P20,3,3 to 4,3,4,4,0.75,5,4,P
146,nih_1863431,NEUR,NEUR,"Tinoco, Ignacio",study,M,R01,1,1 to 2,1,1,1,1,5,4,R01
147,nih_1863435,BIOC,BIOC,"Balch, William E",comp,M,P41,5,5+,5+,14,8+,0.357142857,1,1,P41
148,nih_1863502,NEUR,NEUR,"David, Larry L",comp,M,P01,3,3 to 4,3,4,4,0.75,5,4,P01
149,nih_1863576,NEUR,NEUR,"Mitra, Sankar",comp,M,P01,2,1 to 2,2,7,7,0.285714286,1,1,P01
150,nih_1863714,PHAR,PHAR,"Hruby, Victor J",comp,M,P01,2,1 to 2,2,5,5,0.4,2,1,P01
151,nih_1863851,MULT,MULT,"Huibregtse, Jon",comp,M,R01,1,1 to 2,1,3,3,0.333333333,1,1,R01
152,nih_1863907,PHAR,PHAR,"Smithgall, Thomas E",comp,M,P50,4,3 to 4,4,12,8+,0.333333333,1,1,P
153,nih_1863931,PHAR,PHAR,"Lau, Lester F",comp,M,R01,1,1 to 2,1,6,6,0.166666667,1,1,R01
154,nih_1863934,MULT,MULT,"Baltimore, David",comp,M,P01,2,1 to 2,2,6,6,0.333333333,1,1,P01
155,nih_1863974,IMMU,IMMU,"Varki, Ajit P",comp,M,P01,5,5+,5+,9,8+,0.555555556,3,3,P01
156,nih_1863986,BIOC,BIOC,"Rifkin, Daniel B",comp,M,P01,3,3 to 4,3,6,6,0.5,2,2,P01
157,nih_1864007,NULL.,OTHER,"Smith, Amos B",study,M,P01,4,3 to 4,4,7,7,0.571428571,4,3,P01
158,nih_1864076,IMMU,IMMU,"Ginsberg, Mark H",comp,M,U54,5,5+,5+,13,8+,0.384615385,2,1,U
159,nih_1864095,IMMU,IMMU,"Sodroski, Joseph G",comp,M,P51,7,5+,5+,14,8+,0.5,2,2,P
160,nih_1864103,IMMU,IMMU,"Kronenberg, Mitchell",comp,M,RC4,6,5+,5+,13,8+,0.461538462,2,2,RC
161,nih_1864105,IMMU,IMMU,"Wenzel, Sally E",comp,F,M01,4,3 to 4,4,9,8+,0.444444444,2,2,M
162,nih_1864110,PHAR,PHAR,"Shen, Ben",comp,M,U19,5,5+,5+,7,7,0.714285714,5,4,U
163,nih_1864111,PHAR,PHAR,"Chaiken, Irwin M",study,M,P01,4,3 to 4,4,9,8+,0.444444444,2,2,P01
164,nih_1864123,IMMU,IMMU,"Handel, Tracy M",comp,F,U01,3,3 to 4,3,6,6,0.5,2,2,U
165,nih_1864167,IMMU,IMMU,"Parrish, Colin R",comp,M,R01,2,1 to 2,2,5,5,0.4,2,1,R01
166,nih_1864189,IMMU,IMMU,"Loker, Eric S",comp,M,P20,4,3 to 4,4,7,7,0.571428571,4,3,P
167,nih_1864202,IMMU,IMMU,"White, Judith M",comp,F,U54,3,3 to 4,3,6,6,0.5,2,2,U
168,nih_1864275,PHAR,PHAR,"Lang, Charles H",study,M,R37,2,1 to 2,2,6,6,0.333333333,1,1,R
169,nih_1864400,NEUR,NEUR,"Klein, Peter S",comp,M,R01,2,1 to 2,2,6,6,0.333333333,1,1,R01
170,nih_1864452,AGRI,AGRI,"Davis, Trisha N",study,F,P41,3,3 to 4,3,5,5,0.6,4,3,P41
171,nih_1864603,PHAR,PHAR,"Javitch, Jonathan A",comp,M,U54,4,3 to 4,4,7,7,0.571428571,4,3,U
172,nih_1864639,BIOC,BIOC,"Qin, Jun",comp,M,P01,2,1 to 2,2,3,3,0.666666667,4,3,P01
173,nih_1864696,AGRI,AGRI,"Parkhurst, Susan M",study,F,R01,1,1 to 2,1,6,6,0.166666667,1,1,R01
174,nih_1864703,COMP,OTHER,"Skolnick, Jeffrey",study,M,P41,3,3 to 4,3,4,4,0.75,5,4,P41
175,nih_1864711,CHEM,CHEM,"Warshel, Arieh",study,M,R01,2,1 to 2,2,4,4,0.5,2,2,R01
176,nih_1864759,PHAR,PHAR,"Stanton, Bruce A",comp,M,P20,4,3 to 4,4,7,7,0.571428571,4,3,P
177,nih_1864839,BIOC,BIOC,"Stein, Gary S",comp,M,P01,4,3 to 4,4,10,8+,0.4,2,1,P01
178,nih_1865094,AGRI,AGRI,"Baker, Nicholas E",study,M,R01,2,1 to 2,2,5,5,0.4,2,1,R01
179,nih_1865102,AGRI,AGRI,"Morgan, David O",study,M,R37,2,1 to 2,2,5,5,0.4,2,1,R
180,nih_1865104,BIOC,BIOC,"Bretscher, Anthony P",study,M,R01,1,1 to 2,1,2,2,0.5,2,2,R01
181,nih_1865133,BIOC,BIOC,"Barber, Diane L",study,F,R01,1,1 to 2,1,4,4,0.25,1,1,R01
182,nih_1865283,CENG,CENG,"Miller, Scott J",study,M,R37,2,1 to 2,2,4,4,0.5,2,2,R
183,nih_1865288,MULT,MULT,"Pagano, Michele",comp,F,P30,5,5+,5+,7,7,0.714285714,5,4,P
184,nih_1865319,CHEM,CHEM,"Scheraga, Harold A",study,M,P41,3,3 to 4,3,8,8+,0.375,2,1,P41
185,nih_1865419,PHAR,PHAR,"Silverman, Richard B",study,M,R01,1,1 to 2,1,5,5,0.2,1,1,R01
186,nih_1865596,CHEM,CHEM,"Case, David A",study,M,P41,3,3 to 4,3,6,6,0.5,2,2,P41
187,nih_1865675,PHAR,PHAR,"Ratain, Mark J",comp,M,M01,4,3 to 4,4,5,5,0.8,5,4,M
188,nih_1865898,IMMU,IMMU,"Kappes, Dietmar J",comp,M,R01,1,1 to 2,1,5,5,0.2,1,1,R01
189,nih_1865909,NEUR,NEUR,"Simpkins, James W",comp,M,P01,3,3 to 4,3,5,5,0.6,4,3,P01
190,nih_1865977,BIOC,BIOC,"Tomkinson, Alan E",study,M,P01,2,1 to 2,2,4,4,0.5,2,2,P01
191,nih_1865979,CENG,CENG,"Silver, Pamela A",study,F,R37,2,1 to 2,2,3,3,0.666666667,4,3,R
192,nih_1865986,CHEM,CHEM,"Aube, Jeffrey",study,M,P50,2,1 to 2,2,4,4,0.5,2,2,P
193,nih_1865994,CHEM,CHEM,"Begley, Tadhg P",comp,M,R01,2,1 to 2,2,3,3,0.666666667,4,3,R01
194,nih_1865995,BIOC,BIOC,"Carman, George M",study,M,R37,2,1 to 2,2,3,3,0.666666667,4,3,R
195,nih_1866114,IMMU,IMMU,"Kielian, Margaret",study,F,U54,3,3 to 4,3,5,5,0.6,4,3,U
196,nih_1866124,AGRI,AGRI,"Dong, Ke",study,F,R01,1,1 to 2,1,3,3,0.333333333,1,1,R01
197,nih_1866125,BIOC,BIOC,"Wente, Susan R",study,F,R37,2,1 to 2,2,3,3,0.666666667,4,3,R
198,nih_1866381,AGRI,AGRI,"Duronio, Robert J",study,M,R01,1,1 to 2,1,3,3,0.333333333,1,1,R01
199,nih_1866387,IMMU,IMMU,"Harshey, Rasika M",study,F,R01,2,1 to 2,2,4,4,0.5,2,2,R01
200,nih_1866408,AGRI,AGRI,"Dancis, Andrew B",comp,M,R01,2,1 to 2,2,5,5,0.4,2,1,R01
201,nih_1866550,PHAR,PHAR,"Osheroff, Neil",study,M,R01,1,1 to 2,1,2,2,0.5,2,2,R01
202,nih_1866572,MEDI,MEDI,"Hall, John E",comp,M,P20,2,1 to 2,2,2,2,1,5,4,P
203,nih_1866622,PHAR,PHAR,"Salvesen, Guy S",comp,M,U54,6,5+,5+,11,8+,0.545454545,3,3,U
204,nih_1866808,PHAR,PHAR,"Reed, John C",comp,M,P01,6,5+,5+,23,8+,0.260869565,1,1,P01
205,nih_1866951,MULT,MULT,"Bowie, James U",study,M,R01,1,1 to 2,1,7,7,0.142857143,1,1,R01
206,nih_1866990,NEUR,NEUR,"Worley, Paul F",comp,M,P50,4,3 to 4,4,11,8+,0.363636364,1,1,P
207,nih_1866999,PHAR,PHAR,"Marmorstein, Ronen",study,M,P41,3,3 to 4,3,10,8+,0.3,1,1,P41
208,nih_1867005,MEDI,MEDI,"Miyamoto, Shigeki",comp,M,R56,2,1 to 2,2,5,5,0.4,2,1,R
209,nih_1867042,AGRI,AGRI,"Marks, Michael S",comp,M,R01,3,3 to 4,3,9,8+,0.333333333,1,1,R01
210,nih_1867332,NEUR,NEUR,"Harder, David R",comp,M,P01,2,1 to 2,2,7,7,0.285714286,1,1,P01
211,nih_1867470,MULT,MULT,"Sasisekharan, Ram",study,M,U54,3,3 to 4,3,7,7,0.428571429,2,2,U
212,nih_1867499,IMMU,IMMU,"Lieber, Michael R",comp,M,R37,3,3 to 4,3,6,6,0.5,2,2,R
213,nih_1867652,AGRI,AGRI,"Toczyski, David P",study,M,R01,1,1 to 2,1,2,2,0.5,2,2,R01
214,nih_1867781,IMMU,IMMU,"Goff, Stephen P",comp,M,P01,3,3 to 4,3,4,4,0.75,5,4,P01
215,nih_1867974,MULT,MULT,NA,NA,,NA,1,1 to 2,1,3,3,0.333333333,1,1,NA
216,nih_1868056,MULT,MULT,"Berger, James M",comp,M,R01,2,1 to 2,2,4,4,0.5,2,2,R01
217,nih_1868094,IMMU,IMMU,"Arnold, Edward",comp,M,R37,1,1 to 2,1,1,1,1,5,4,R
218,nih_1868148,BIOC,BIOC,"Cafiso, David S",study,M,P01,2,1 to 2,2,3,3,0.666666667,4,3,P01
219,nih_1868354,PHAR,PHAR,"Nigam, Sanjay K",comp,M,P01,3,3 to 4,3,14,8+,0.214285714,1,1,P01
220,nih_1868553,CHEM,CHEM,"Karlin, Kenneth D",study,M,R01,2,1 to 2,2,3,3,0.666666667,4,3,R01
221,nih_1868561,PHAR,PHAR,"Spiegel, Sarah",comp,F,U19,3,3 to 4,3,5,5,0.6,4,3,U
