"","Source","Target","Label","Type","PMID_x","PUB_YEAR","COUNTRY","PMID_y","ACTIVITY","avg_discpline_weight","discipline_classification","activity_weight","normalized_discipline_weight","normalized_activity_weight"
"15","Selker, Eric U","Dunlap, Jay C",21811413,"Undirected",21811413,2011,"United States",21811413,"P01",12.6024014121813,"MEDI",11.1887024150634,0.361568847916435,0.176013098649202
"16","Selker, Eric U","Mello, Craig C",20417140,"Undirected",20417140,2010,"United States",20417140,"R37",2.35737175311987,"BIOC",8.29643868878996,0.0676341088502723,0.130513961958721
"17","Selker, Eric U","Liu, Yi",20417140,"Undirected",20417140,2010,"United States",20417140,"R37",2.35737175311987,"BIOC",8.29643868878996,0.0676341088502723,0.130513961958721
"18","Mello, Craig C","Liu, Yi",20417140,"Undirected",20417140,2010,"United States",20417140,"R37",2.35737175311987,"BIOC",8.29643868878996,0.0676341088502723,0.130513961958721
"19","Selker, Eric U","David, Larry L",20139222,"Undirected",20139222,2010,"United States",20139222,"R37",2.35737175311987,"BIOC",8.29643868878996,0.0676341088502723,0.130513961958721
"20","Levitt, Michael","Degrado, William F",16126228,"Undirected",16126228,2005,"England",16126228,"R37",13.8756325716915,"IMMU",8.29643868878996,0.398098451157798,0.130513961958721
"21","Degrado, William F","Solomon, Edward I",19090676,"Undirected",19090676,2009,"United States",19090676,"P41",2.35737175311987,"BIOC",24.6252252252252,0.0676341088502723,0.387387387387387
"22","Gellman, Samuel H","Raines, Ronald T",12121081,"Undirected",12121081,2002,"United States",12121081,"R01",12.2922157315582,"CHEM",1.71922762437889,0.352669474256215,0.0270457261462985
"23","Gellman, Samuel H","Raines, Ronald T",11792194,"Undirected",11792194,2002,"United States",11792194,"R01",12.2922157315582,"CHEM",1.71922762437889,0.352669474256215,0.0270457261462985
"24","Gellman, Samuel H","Rana, Tariq M",14507173,"Undirected",14507173,2003,"United States",14507173,"R56",2.35737175311987,"BIOC",13.8376645291934,0.0676341088502723,0.217684778940263
"25","Menon, Anant K","Gellman, Samuel H",14517218,"Undirected",14517218,2003,"United States",14517218,"R01",2.35737175311987,"BIOC",1.71922762437889,0.0676341088502723,0.0270457261462985
"26","Menon, Anant K","Gellman, Samuel H",15771489,"Undirected",15771489,2005,"United States",15771489,"R01",12.2922157315582,"CHEM",1.71922762437889,0.352669474256215,0.0270457261462985
"27","Menon, Anant K","Gellman, Samuel H",17503427,"Undirected",17503427,2007,"Germany",17503427,"R01",14.7915401120631,"PHAR",1.71922762437889,0.424376271022355,0.0270457261462985
"28","Gellman, Samuel H","Wipf, Peter",17394351,"Undirected",17394351,2007,"United States",17394351,"P50",7.32479374233904,"CHEM",45.6327212020033,0.210151791553244,0.717863105175292
"29","Gellman, Samuel H","Raines, Ronald T",23238807,"Undirected",23238807,2013,"United States",23238807,"R01",2.35737175311987,"BIOC",1.71922762437889,0.0676341088502723,0.0270457261462985
"30","Gellman, Samuel H","Raines, Ronald T",26317395,"Undirected",26317395,2015,"United States",26317395,"R01",12.2922157315582,"CHEM",1.71922762437889,0.352669474256215,0.0270457261462985
"31","Markley, John L","Gellman, Samuel H",17123960,"Undirected",17123960,2007,"United States",17123960,"P41",2.35737175311987,"BIOC",24.6252252252252,0.0676341088502723,0.387387387387387
"32","Forman, Stuart A","Miller, Keith W",21213095,"Undirected",21213095,2011,"United States",21213095,"P01",5.77354517611026,"MEDI",11.1887024150634,0.165645737621235,0.176013098649202
"33","Forman, Stuart A","Miller, Keith W",27167687,"Undirected",27167687,2016,"United States",27167687,"P01",5.77354517611026,"MEDI",11.1887024150634,0.165645737621235,0.176013098649202
"34","Forman, Stuart A","Olsen, Richard W",24009076,"Undirected",24009076,2013,"United States",24009076,"P01",2.35737175311987,"BIOC",11.1887024150634,0.0676341088502723,0.176013098649202
"35","Forman, Stuart A","Miller, Keith W",25316107,"Undirected",25316107,2015,"England",25316107,"P01",32.289904715432,"NEUR",11.1887024150634,0.926412614980289,0.176013098649202
"36","Forman, Stuart A","Miller, Keith W",12646036,"Undirected",12646036,2003,"United States",12646036,"P01",12.2922157315582,"CHEM",11.1887024150634,0.352669474256215,0.176013098649202
"37","Forman, Stuart A","Olsen, Richard W",12646036,"Undirected",12646036,2003,"United States",12646036,"P01",12.2922157315582,"CHEM",11.1887024150634,0.352669474256215,0.176013098649202
"38","Miller, Keith W","Olsen, Richard W",12646036,"Undirected",12646036,2003,"United States",12646036,"P01",12.2922157315582,"CHEM",11.1887024150634,0.352669474256215,0.176013098649202
"39","Forman, Stuart A","Miller, Keith W",15664985,"Undirected",15664985,2005,"United States",15664985,"P01",2.35737175311987,"BIOC",11.1887024150634,0.0676341088502723,0.176013098649202
"40","Forman, Stuart A","Miller, Keith W",16884293,"Undirected",16884293,2006,"United States",16884293,"P01",12.2922157315582,"CHEM",11.1887024150634,0.352669474256215,0.176013098649202
"41","Forman, Stuart A","Olsen, Richard W",16884293,"Undirected",16884293,2006,"United States",16884293,"P01",12.2922157315582,"CHEM",11.1887024150634,0.352669474256215,0.176013098649202
"42","Miller, Keith W","Olsen, Richard W",16884293,"Undirected",16884293,2006,"United States",16884293,"P01",12.2922157315582,"CHEM",11.1887024150634,0.352669474256215,0.176013098649202
"43","Forman, Stuart A","Miller, Keith W",19625798,"Undirected",19625798,2009,"United States",19625798,"P01",5.77354517611026,"MEDI",11.1887024150634,0.165645737621235,0.176013098649202
"44","Miller, Keith W","Forman, Stuart A",19218367,"Undirected",19218367,2009,"United States",19218367,"P01",16.0412023023155,"PHAR",11.1887024150634,0.460229669405425,0.176013098649202
"45","Forman, Stuart A","Miller, Keith W",20179500,"Undirected",20179500,2010,"United States",20179500,"P01",5.77354517611026,"MEDI",11.1887024150634,0.165645737621235,0.176013098649202
"46","Forman, Stuart A","Miller, Keith W",20662008,"Undirected",20662008,2010,"United States",20662008,"P01",2.35737175311987,"BIOC",11.1887024150634,0.0676341088502723,0.176013098649202
"47","Forman, Stuart A","Miller, Keith W",20704351,"Undirected",20704351,2010,"United States",20704351,"P01",16.0412023023155,"PHAR",11.1887024150634,0.460229669405425,0.176013098649202
"48","Forman, Stuart A","Olsen, Richard W",20704351,"Undirected",20704351,2010,"United States",20704351,"P01",16.0412023023155,"PHAR",11.1887024150634,0.460229669405425,0.176013098649202
"49","Miller, Keith W","Olsen, Richard W",20704351,"Undirected",20704351,2010,"United States",20704351,"P01",16.0412023023155,"PHAR",11.1887024150634,0.460229669405425,0.176013098649202
"50","Forman, Stuart A","Miller, Keith W",22029276,"Undirected",22029276,2011,"United States",22029276,"P01",16.0412023023155,"PHAR",11.1887024150634,0.460229669405425,0.176013098649202
"51","Forman, Stuart A","Miller, Keith W",22734650,"Undirected",22734650,2012,"United States",22734650,"P01",16.0412023023155,"PHAR",11.1887024150634,0.460229669405425,0.176013098649202
"52","Forman, Stuart A","Miller, Keith W",25299744,"Undirected",25299744,2014,"United States",25299744,"P01",5.77354517611026,"MEDI",11.1887024150634,0.165645737621235,0.176013098649202
"53","Forman, Stuart A","Miller, Keith W",24288268,"Undirected",24288268,2014,"United States",24288268,"P01",2.35737175311987,"BIOC",11.1887024150634,0.0676341088502723,0.176013098649202
"54","Forman, Stuart A","Miller, Keith W",26378885,"Undirected",26378885,2015,"England",26378885,"P01",2.35737175311987,"BIOC",11.1887024150634,0.0676341088502723,0.176013098649202
"55","Ragsdale, Stephen W","Fitzpatrick, Paul F",16475826,"Undirected",16475826,2006,"United States",16475826,"R01",2.35737175311987,"BIOC",1.71922762437889,0.0676341088502723,0.0270457261462985
"56","Fitzpatrick, Paul F","Solomon, Edward I",19489646,"Undirected",19489646,2009,"United States",19489646,"P41",17.5558849038563,"CENG",24.6252252252252,0.503686628542499,0.387387387387387
"57","Pazour, Gregory J","Rosenbaum, Joel L",12495842,"Undirected",12495842,2002,"England",12495842,"R01",2.35737175311987,"BIOC",1.71922762437889,0.0676341088502723,0.0270457261462985
"58","Pazour, Gregory J","Rosenbaum, Joel L",12062067,"Undirected",12062067,2002,"England",12062067,"R01",16.0168295302169,"BIOC",1.71922762437889,0.459530403064034,0.0270457261462985
"59","Pazour, Gregory J","Witman, George B",12062067,"Undirected",12062067,2002,"England",12062067,"R01",16.0168295302169,"BIOC",1.71922762437889,0.459530403064034,0.0270457261462985
"60","Rosenbaum, Joel L","Witman, George B",12062067,"Undirected",12062067,2002,"England",12062067,"R01",16.0168295302169,"BIOC",1.71922762437889,0.459530403064034,0.0270457261462985
"61","Pazour, Gregory J","Rosenbaum, Joel L",11916979,"Undirected",11916979,2002,"United States",11916979,"P30",2.35737175311987,"BIOC",30.2144436256448,0.0676341088502723,0.475313190862196
"62","Pazour, Gregory J","Witman, George B",11916979,"Undirected",11916979,2002,"United States",11916979,"P30",2.35737175311987,"BIOC",30.2144436256448,0.0676341088502723,0.475313190862196
"63","Rosenbaum, Joel L","Witman, George B",11916979,"Undirected",11916979,2002,"United States",11916979,"P30",2.35737175311987,"BIOC",30.2144436256448,0.0676341088502723,0.475313190862196
"64","Pazour, Gregory J","King, Stephen M",16507594,"Undirected",16507594,2006,"England",16507594,"P30",2.35737175311987,"BIOC",30.2144436256448,0.0676341088502723,0.475313190862196
"65","Pazour, Gregory J","Rosenbaum, Joel L",16507594,"Undirected",16507594,2006,"England",16507594,"P30",2.35737175311987,"BIOC",30.2144436256448,0.0676341088502723,0.475313190862196
"66","Pazour, Gregory J","Witman, George B",16507594,"Undirected",16507594,2006,"England",16507594,"P30",2.35737175311987,"BIOC",30.2144436256448,0.0676341088502723,0.475313190862196
"67","King, Stephen M","Rosenbaum, Joel L",16507594,"Undirected",16507594,2006,"England",16507594,"P30",2.35737175311987,"BIOC",30.2144436256448,0.0676341088502723,0.475313190862196
"68","King, Stephen M","Witman, George B",16507594,"Undirected",16507594,2006,"England",16507594,"P30",2.35737175311987,"BIOC",30.2144436256448,0.0676341088502723,0.475313190862196
"69","Rosenbaum, Joel L","Witman, George B",16507594,"Undirected",16507594,2006,"England",16507594,"P30",2.35737175311987,"BIOC",30.2144436256448,0.0676341088502723,0.475313190862196
"70","Pazour, Gregory J","Witman, George B",17984324,"Undirected",17984324,2007,"United States",17984324,"R01",2.35737175311987,"BIOC",1.71922762437889,0.0676341088502723,0.0270457261462985
"71","Pazour, Gregory J","Rosenbaum, Joel L",17984324,"Undirected",17984324,2007,"United States",17984324,"R01",2.35737175311987,"BIOC",1.71922762437889,0.0676341088502723,0.0270457261462985
"72","Pazour, Gregory J","Mitchell, Aaron P",17984324,"Undirected",17984324,2007,"United States",17984324,"R01",2.35737175311987,"BIOC",1.71922762437889,0.0676341088502723,0.0270457261462985
"73","Witman, George B","Rosenbaum, Joel L",17984324,"Undirected",17984324,2007,"United States",17984324,"R01",2.35737175311987,"BIOC",1.71922762437889,0.0676341088502723,0.0270457261462985
"74","Witman, George B","Mitchell, Aaron P",17984324,"Undirected",17984324,2007,"United States",17984324,"R01",2.35737175311987,"BIOC",1.71922762437889,0.0676341088502723,0.0270457261462985
"75","Rosenbaum, Joel L","Mitchell, Aaron P",17984324,"Undirected",17984324,2007,"United States",17984324,"R01",2.35737175311987,"BIOC",1.71922762437889,0.0676341088502723,0.0270457261462985
"76","Pazour, Gregory J","Rosenbaum, Joel L",17312020,"Undirected",17312020,2007,"United States",17312020,"P30",2.35737175311987,"BIOC",30.2144436256448,0.0676341088502723,0.475313190862196
"77","Pazour, Gregory J","Witman, George B",17312020,"Undirected",17312020,2007,"United States",17312020,"P30",2.35737175311987,"BIOC",30.2144436256448,0.0676341088502723,0.475313190862196
"78","Rosenbaum, Joel L","Witman, George B",17312020,"Undirected",17312020,2007,"United States",17312020,"P30",2.35737175311987,"BIOC",30.2144436256448,0.0676341088502723,0.475313190862196
"79","Rosenbaum, Joel L","Witman, George B",20819941,"Undirected",20819941,2010,"United States",20819941,"P30",2.35737175311987,"BIOC",30.2144436256448,0.0676341088502723,0.475313190862196
"80","Rosenbaum, Joel L","Mitchell, Aaron P",23804580,"Undirected",23804580,2013,"United States",23804580,"R01",2.35737175311987,"BIOC",1.71922762437889,0.0676341088502723,0.0270457261462985
"81","Rosenbaum, Joel L","King, Stephen M",17314247,"Undirected",17314247,2007,"England",17314247,"R01",2.35737175311987,"BIOC",1.71922762437889,0.0676341088502723,0.0270457261462985
"82","Pazour, Gregory J","Rosenbaum, Joel L",19855387,"Undirected",19855387,2009,"England",19855387,"R01",2.35737175311987,"BIOC",1.71922762437889,0.0676341088502723,0.0270457261462985
"83","Schrock, Richard R","Hoffman, Brian M",17341079,"Undirected",17341079,2007,"United States",17341079,"R01",17.5558849038563,"CENG",1.71922762437889,0.503686628542499,0.0270457261462985
"84","Schrock, Richard R","Hoffman, Brian M",20429559,"Undirected",20429559,2010,"United States",20429559,"R01",17.5558849038563,"CENG",1.71922762437889,0.503686628542499,0.0270457261462985
"85","Schrock, Richard R","Hoffman, Brian M",20000748,"Undirected",20000748,2010,"United States",20000748,"R01",12.2922157315582,"CHEM",1.71922762437889,0.352669474256215,0.0270457261462985
"86","Schrock, Richard R","Hoffman, Brian M",21155580,"Undirected",21155580,2011,"United States",21155580,"R01",12.2922157315582,"CHEM",1.71922762437889,0.352669474256215,0.0270457261462985
"87","Schulten, Klaus J","Voth, Gregory A",15048815,"Undirected",15048815,2004,"United States",15048815,"P41",2.35737175311987,"BIOC",24.6252252252252,0.0676341088502723,0.387387387387387
"88","Schulten, Klaus J","Voth, Gregory A",17056733,"Undirected",17056733,2007,"United States",17056733,"P41",2.35737175311987,"BIOC",24.6252252252252,0.0676341088502723,0.387387387387387
"89","Voth, Gregory A","Gennis, Robert B",20964330,"Undirected",20964330,2010,"United States",20964330,"R01",17.5558849038563,"CENG",1.71922762437889,0.503686628542499,0.0270457261462985
"90","Voth, Gregory A","Falke, Joseph J",20659476,"Undirected",20659476,2010,"England",20659476,"R01",4.06545846461507,"MEDI",1.71922762437889,0.116639923235754,0.0270457261462985
"91","Falke, Joseph J","Voth, Gregory A",23747485,"Undirected",23747485,2013,"England",23747485,"R01",13.8756325716915,"IMMU",1.71922762437889,0.398098451157798,0.0270457261462985
"92","Voth, Gregory A","Falke, Joseph J",24559055,"Undirected",24559055,2014,"United States",24559055,"R01",2.35737175311987,"BIOC",1.71922762437889,0.0676341088502723,0.0270457261462985
"93","Falke, Joseph J","Voth, Gregory A",25075641,"Undirected",25075641,2014,"United States",25075641,"R01",14.6102999719198,"CENG",1.71922762437889,0.419176405812183,0.0270457261462985
"94","Li, Rong","Rosen, Michael K",16285728,"Undirected",16285728,2005,"United States",16285728,"P01",2.35737175311987,"BIOC",11.1887024150634,0.0676341088502723,0.176013098649202
"95","Parker, Roy","Rosen, Michael K",27374333,"Undirected",27374333,2016,"United States",27374333,"R01",2.35737175311987,"BIOC",1.71922762437889,0.0676341088502723,0.0270457261462985
"96","Rosen, Michael K","Macara, Ian G",12606577,"Undirected",12606577,2003,"England",12606577,"R01",2.35737175311987,"BIOC",1.71922762437889,0.0676341088502723,0.0270457261462985
"97","Li, Rong","Rosen, Michael K",12859205,"Undirected",12859205,2003,"United States",12859205,"R01",2.35737175311987,"BIOC",1.71922762437889,0.0676341088502723,0.0270457261462985
"98","Morgan, David O","Kirschner, Marc W",15235593,"Undirected",15235593,2004,"United States",15235593,"R01",2.35737175311987,"BIOC",1.71922762437889,0.0676341088502723,0.0270457261462985
"99","Morgan, David O","Rosen, Michael K",15235593,"Undirected",15235593,2004,"United States",15235593,"R01",2.35737175311987,"BIOC",1.71922762437889,0.0676341088502723,0.0270457261462985
"100","Kirschner, Marc W","Rosen, Michael K",15235593,"Undirected",15235593,2004,"United States",15235593,"R01",2.35737175311987,"BIOC",1.71922762437889,0.0676341088502723,0.0270457261462985
"101","Otwinowski, Zbyszek","Rosen, Michael K",20498093,"Undirected",20498093,2010,"United States",20498093,"R01",17.769638648861,"MULT",1.71922762437889,0.509819324430479,0.0270457261462985
"102","Otwinowski, Zbyszek","Rosen, Michael K",21107423,"Undirected",21107423,2010,"England",21107423,"R01",17.769638648861,"MULT",1.71922762437889,0.509819324430479,0.0270457261462985
"103","Rosen, Michael K","Gelles, Jeff",24015360,"Undirected",24015360,2013,"United States",24015360,"R37",14.2153315200686,"NEUR",8.29643868878996,0.407844574407326,0.130513961958721
"104","Rosen, Michael K","Parker, Roy",26412307,"Undirected",26412307,2015,"United States",26412307,"R37",2.35737175311987,"BIOC",8.29643868878996,0.0676341088502723,0.130513961958721
"105","Spector, David L","Hannon, Gregory J",12809602,"Undirected",12809602,2003,"United States",12809602,"P01",2.35737175311987,"BIOC",11.1887024150634,0.0676341088502723,0.176013098649202
"106","Spector, David L","Stillman, Bruce W",15215892,"Undirected",15215892,2004,"England",15215892,"P01",2.35737175311987,"BIOC",11.1887024150634,0.0676341088502723,0.176013098649202
"107","Spector, David L","Young, Richard A",24285714,"Undirected",24285714,2013,"United States",24285714,"P01",2.35737175311987,"BIOC",11.1887024150634,0.0676341088502723,0.176013098649202
"108","Singer, Robert H","Spector, David L",15006351,"Undirected",15006351,2004,"United States",15006351,"R01",2.35737175311987,"BIOC",1.71922762437889,0.0676341088502723,0.0270457261462985
"109","Spector, David L","Ellisman, Mark H",15479736,"Undirected",15479736,2004,"United States",15479736,"R01",2.35737175311987,"BIOC",1.71922762437889,0.0676341088502723,0.0270457261462985
"110","Spector, David L","Singer, Robert H",15205532,"Undirected",15205532,2004,"United States",15205532,"R01",17.769638648861,"MULT",1.71922762437889,0.509819324430479,0.0270457261462985
"111","Spector, David L","Young, Richard A",24286025,"Undirected",24286025,2013,"United States",24286025,"R01",4.06545846461507,"MEDI",1.71922762437889,0.116639923235754,0.0270457261462985
"112","Chanfreau, Guillaume F","Feigon, Juli F",15150409,"Undirected",15150409,2004,"United States",15150409,"R01",10.0635052009904,"MULT",1.71922762437889,0.288726716640376,0.0270457261462985
"113","Feigon, Juli F","Chanfreau, Guillaume F",15987808,"Undirected",15987808,2005,"United States",15987808,"R01",2.35737175311987,"BIOC",1.71922762437889,0.0676341088502723,0.0270457261462985
"114","Chanfreau, Guillaume F","Feigon, Juli F",21708174,"Undirected",21708174,2011,"England",21708174,"R01",2.35737175311987,"BIOC",1.71922762437889,0.0676341088502723,0.0270457261462985
"115","Chanfreau, Guillaume F","Feigon, Juli F",21742266,"Undirected",21742266,2011,"United States",21742266,"R01",2.35737175311987,"BIOC",1.71922762437889,0.0676341088502723,0.0270457261462985
"116","Chanfreau, Guillaume F","Feigon, Juli F",23201338,"Undirected",23201338,2013,"England",23201338,"R01",2.35737175311987,"BIOC",1.71922762437889,0.0676341088502723,0.0270457261462985
"117","Anderson, Karen S","Jorgensen, William L",25127103,"Undirected",25127103,2014,"England",25127103,"R01",14.7915401120631,"PHAR",1.71922762437889,0.424376271022355,0.0270457261462985
"118","Anderson, Karen S","Jorgensen, William L",24440298,"Undirected",24440298,2014,"England",24440298,"R01",14.7915401120631,"PHAR",1.71922762437889,0.424376271022355,0.0270457261462985
"119","Anderson, Karen S","Jorgensen, William L",25900220,"Undirected",25900220,2015,"England",25900220,"R01",14.7915401120631,"PHAR",1.71922762437889,0.424376271022355,0.0270457261462985
"120","Anderson, Karen S","Jorgensen, William L",27994756,"Undirected",27994756,2016,"United States",27994756,"R01",14.171182458888,"NULL.",1.71922762437889,0.406577916992952,0.0270457261462985
"121","Anderson, Karen S","Chazin, Walter J",26947396,"Undirected",26947396,2016,"England",26947396,"R01",9.60692331452203,"PHYS",1.71922762437889,0.275627166699813,0.0270457261462985
"122","Anderson, Karen S","Otwinowski, Zbyszek",26947396,"Undirected",26947396,2016,"England",26947396,"R01",9.60692331452203,"PHYS",1.71922762437889,0.275627166699813,0.0270457261462985
"123","Anderson, Karen S","Rapoport, Tom A",26947396,"Undirected",26947396,2016,"England",26947396,"R01",9.60692331452203,"PHYS",1.71922762437889,0.275627166699813,0.0270457261462985
"124","Anderson, Karen S","Rosen, Michael K",26947396,"Undirected",26947396,2016,"England",26947396,"R01",9.60692331452203,"PHYS",1.71922762437889,0.275627166699813,0.0270457261462985
"125","Anderson, Karen S","Blacklow, Stephen C",26947396,"Undirected",26947396,2016,"England",26947396,"R01",9.60692331452203,"PHYS",1.71922762437889,0.275627166699813,0.0270457261462985
"126","Anderson, Karen S","Eck, Michael J",26947396,"Undirected",26947396,2016,"England",26947396,"R01",9.60692331452203,"PHYS",1.71922762437889,0.275627166699813,0.0270457261462985
"127","Anderson, Karen S","Harrison, Stephen C",26947396,"Undirected",26947396,2016,"England",26947396,"R01",9.60692331452203,"PHYS",1.71922762437889,0.275627166699813,0.0270457261462985
"128","Anderson, Karen S","Wu, Hao",26947396,"Undirected",26947396,2016,"England",26947396,"R01",9.60692331452203,"PHYS",1.71922762437889,0.275627166699813,0.0270457261462985
"129","Chazin, Walter J","Otwinowski, Zbyszek",26947396,"Undirected",26947396,2016,"England",26947396,"R01",9.60692331452203,"PHYS",1.71922762437889,0.275627166699813,0.0270457261462985
"130","Chazin, Walter J","Rapoport, Tom A",26947396,"Undirected",26947396,2016,"England",26947396,"R01",9.60692331452203,"PHYS",1.71922762437889,0.275627166699813,0.0270457261462985
"131","Chazin, Walter J","Rosen, Michael K",26947396,"Undirected",26947396,2016,"England",26947396,"R01",9.60692331452203,"PHYS",1.71922762437889,0.275627166699813,0.0270457261462985
"132","Chazin, Walter J","Blacklow, Stephen C",26947396,"Undirected",26947396,2016,"England",26947396,"R01",9.60692331452203,"PHYS",1.71922762437889,0.275627166699813,0.0270457261462985
"133","Chazin, Walter J","Eck, Michael J",26947396,"Undirected",26947396,2016,"England",26947396,"R01",9.60692331452203,"PHYS",1.71922762437889,0.275627166699813,0.0270457261462985
"134","Chazin, Walter J","Harrison, Stephen C",26947396,"Undirected",26947396,2016,"England",26947396,"R01",9.60692331452203,"PHYS",1.71922762437889,0.275627166699813,0.0270457261462985
"135","Chazin, Walter J","Wu, Hao",26947396,"Undirected",26947396,2016,"England",26947396,"R01",9.60692331452203,"PHYS",1.71922762437889,0.275627166699813,0.0270457261462985
"136","Otwinowski, Zbyszek","Rapoport, Tom A",26947396,"Undirected",26947396,2016,"England",26947396,"R01",9.60692331452203,"PHYS",1.71922762437889,0.275627166699813,0.0270457261462985
"137","Otwinowski, Zbyszek","Rosen, Michael K",26947396,"Undirected",26947396,2016,"England",26947396,"R01",9.60692331452203,"PHYS",1.71922762437889,0.275627166699813,0.0270457261462985
"138","Otwinowski, Zbyszek","Blacklow, Stephen C",26947396,"Undirected",26947396,2016,"England",26947396,"R01",9.60692331452203,"PHYS",1.71922762437889,0.275627166699813,0.0270457261462985
"139","Otwinowski, Zbyszek","Eck, Michael J",26947396,"Undirected",26947396,2016,"England",26947396,"R01",9.60692331452203,"PHYS",1.71922762437889,0.275627166699813,0.0270457261462985
"140","Otwinowski, Zbyszek","Harrison, Stephen C",26947396,"Undirected",26947396,2016,"England",26947396,"R01",9.60692331452203,"PHYS",1.71922762437889,0.275627166699813,0.0270457261462985
"141","Otwinowski, Zbyszek","Wu, Hao",26947396,"Undirected",26947396,2016,"England",26947396,"R01",9.60692331452203,"PHYS",1.71922762437889,0.275627166699813,0.0270457261462985
"142","Rapoport, Tom A","Rosen, Michael K",26947396,"Undirected",26947396,2016,"England",26947396,"R01",9.60692331452203,"PHYS",1.71922762437889,0.275627166699813,0.0270457261462985
"143","Rapoport, Tom A","Blacklow, Stephen C",26947396,"Undirected",26947396,2016,"England",26947396,"R01",9.60692331452203,"PHYS",1.71922762437889,0.275627166699813,0.0270457261462985
"144","Rapoport, Tom A","Eck, Michael J",26947396,"Undirected",26947396,2016,"England",26947396,"R01",9.60692331452203,"PHYS",1.71922762437889,0.275627166699813,0.0270457261462985
"145","Rapoport, Tom A","Harrison, Stephen C",26947396,"Undirected",26947396,2016,"England",26947396,"R01",9.60692331452203,"PHYS",1.71922762437889,0.275627166699813,0.0270457261462985
"146","Rapoport, Tom A","Wu, Hao",26947396,"Undirected",26947396,2016,"England",26947396,"R01",9.60692331452203,"PHYS",1.71922762437889,0.275627166699813,0.0270457261462985
"147","Rosen, Michael K","Blacklow, Stephen C",26947396,"Undirected",26947396,2016,"England",26947396,"R01",9.60692331452203,"PHYS",1.71922762437889,0.275627166699813,0.0270457261462985
"148","Rosen, Michael K","Eck, Michael J",26947396,"Undirected",26947396,2016,"England",26947396,"R01",9.60692331452203,"PHYS",1.71922762437889,0.275627166699813,0.0270457261462985
"149","Rosen, Michael K","Harrison, Stephen C",26947396,"Undirected",26947396,2016,"England",26947396,"R01",9.60692331452203,"PHYS",1.71922762437889,0.275627166699813,0.0270457261462985
"150","Rosen, Michael K","Wu, Hao",26947396,"Undirected",26947396,2016,"England",26947396,"R01",9.60692331452203,"PHYS",1.71922762437889,0.275627166699813,0.0270457261462985
"151","Blacklow, Stephen C","Eck, Michael J",26947396,"Undirected",26947396,2016,"England",26947396,"R01",9.60692331452203,"PHYS",1.71922762437889,0.275627166699813,0.0270457261462985
"152","Blacklow, Stephen C","Harrison, Stephen C",26947396,"Undirected",26947396,2016,"England",26947396,"R01",9.60692331452203,"PHYS",1.71922762437889,0.275627166699813,0.0270457261462985
